"NOM_SECTION","District","Bureau","Coderre","Bergeron","Joly","Côté"
"101-001","101-Bois-de-Liesse","1",30,35,36,31
"101-010","101-Bois-de-Liesse","10",20,11,25,4
"101-011","101-Bois-de-Liesse","11",26,12,29,8
"101-012","101-Bois-de-Liesse","12",17,26,34,11
"101-013","101-Bois-de-Liesse","13",15,9,25,7
"101-014","101-Bois-de-Liesse","14",22,9,28,10
"101-015","101-Bois-de-Liesse","15",17,18,20,2
"101-016","101-Bois-de-Liesse","16",8,10,7,1
"101-017","101-Bois-de-Liesse","17",23,16,30,5
"101-018","101-Bois-de-Liesse","18",15,20,33,12
"101-019","101-Bois-de-Liesse","19",18,16,22,9
"101-002","101-Bois-de-Liesse","2",25,25,49,6
"101-020","101-Bois-de-Liesse","20",37,16,56,6
"101-021","101-Bois-de-Liesse","21",20,57,31,4
"101-022","101-Bois-de-Liesse","22",10,12,17,5
"101-023","101-Bois-de-Liesse","23",22,12,25,3
"101-024","101-Bois-de-Liesse","24",22,15,25,8
"101-025","101-Bois-de-Liesse","25",16,19,42,15
"101-026","101-Bois-de-Liesse","26",15,18,25,18
"101-027","101-Bois-de-Liesse","27",15,25,42,13
"101-028","101-Bois-de-Liesse","28",27,18,37,9
"101-029","101-Bois-de-Liesse","29",18,22,35,6
"101-003","101-Bois-de-Liesse","3",31,14,26,12
"101-030","101-Bois-de-Liesse","30",27,24,39,9
"101-031","101-Bois-de-Liesse","31",25,23,43,6
"101-032","101-Bois-de-Liesse","32",20,13,28,11
"101-033","101-Bois-de-Liesse","33",17,21,44,23
"101-034","101-Bois-de-Liesse","34",22,36,47,7
"101-035","101-Bois-de-Liesse","35",30,31,43,10
"101-036","101-Bois-de-Liesse","36",26,27,32,6
"101-037","101-Bois-de-Liesse","37",17,26,42,10
"101-038","101-Bois-de-Liesse","38",41,11,31,12
"101-039","101-Bois-de-Liesse","39",9,9,15,9
"101-004","101-Bois-de-Liesse","4",27,14,31,5
"101-040","101-Bois-de-Liesse","40",21,9,24,7
"101-041","101-Bois-de-Liesse","41",19,19,36,18
"101-042","101-Bois-de-Liesse","42",18,12,30,11
"101-043","101-Bois-de-Liesse","43",25,7,18,8
"101-044","101-Bois-de-Liesse","44",24,1,33,8
"101-045","101-Bois-de-Liesse","45",22,10,19,7
"101-046","101-Bois-de-Liesse","46",28,12,37,7
"101-047","101-Bois-de-Liesse","47",18,8,32,10
"101-048","101-Bois-de-Liesse","48",24,17,28,16
"101-049","101-Bois-de-Liesse","49",7,11,21,4
"101-005","101-Bois-de-Liesse","5",21,7,30,4
"101-050","101-Bois-de-Liesse","50",12,15,36,5
"101-051","101-Bois-de-Liesse","51",17,10,38,7
"101-052","101-Bois-de-Liesse","52",19,35,15,5
"101-053","101-Bois-de-Liesse","53",24,25,17,4
"101-054","101-Bois-de-Liesse","54",15,40,19,8
"101-055","101-Bois-de-Liesse","55",13,19,8,3
"101-056","101-Bois-de-Liesse","56",10,14,12,4
"101-057","101-Bois-de-Liesse","57",14,11,27,10
"101-058","101-Bois-de-Liesse","58",22,15,30,13
"101-059","101-Bois-de-Liesse","59",14,8,28,4
"101-006","101-Bois-de-Liesse","6",27,12,36,9
"101-060","101-Bois-de-Liesse","60",25,24,28,25
"101-601","101-Bois-de-Liesse","601",268,93,216,97
"101-061","101-Bois-de-Liesse","61",22,28,33,6
"101-062","101-Bois-de-Liesse","62",46,13,40,9
"101-063","101-Bois-de-Liesse","63",43,22,27,13
"101-064","101-Bois-de-Liesse","64",26,18,27,19
"101-065","101-Bois-de-Liesse","65",15,31,27,9
"101-066","101-Bois-de-Liesse","66",12,17,18,4
"101-067","101-Bois-de-Liesse","67",27,17,35,12
"101-068","101-Bois-de-Liesse","68",15,20,43,7
"101-069","101-Bois-de-Liesse","69",22,18,16,7
"101-007","101-Bois-de-Liesse","7",25,28,30,14
"101-070","101-Bois-de-Liesse","70",25,21,21,4
"101-071","101-Bois-de-Liesse","71",16,14,27,10
"101-072","101-Bois-de-Liesse","72",30,24,34,7
"101-073","101-Bois-de-Liesse","73",23,22,22,4
"101-074","101-Bois-de-Liesse","74",13,34,17,2
"101-075","101-Bois-de-Liesse","75",18,18,3,2
"101-076","101-Bois-de-Liesse","76",34,25,60,14
"101-077","101-Bois-de-Liesse","77",20,38,58,15
"101-078","101-Bois-de-Liesse","78",26,36,47,23
"101-079","101-Bois-de-Liesse","79",23,7,27,7
"101-008","101-Bois-de-Liesse","8",28,22,44,19
"101-080","101-Bois-de-Liesse","80",33,19,52,9
"101-081","101-Bois-de-Liesse","81",36,19,50,15
"101-082","101-Bois-de-Liesse","82",35,29,35,35
"101-083","101-Bois-de-Liesse","83",33,14,35,8
"101-009","101-Bois-de-Liesse","9",17,26,30,16
"101-901","101-Bois-de-Liesse","901",15,3,9,6
"101-902","101-Bois-de-Liesse","902",24,7,8,2
"101-903","101-Bois-de-Liesse","903",32,16,21,4
"101-904","101-Bois-de-Liesse","904",11,11,9,4
"101-905","101-Bois-de-Liesse","905",24,7,8,6
"101-906","101-Bois-de-Liesse","906",16,9,13,4
"101-907","101-Bois-de-Liesse","907",34,9,31,4
"101-908","101-Bois-de-Liesse","908",16,7,11,4
"101-909","101-Bois-de-Liesse","909",4,3,11,1
"101-910","101-Bois-de-Liesse","910",27,9,24,5
"101-911","101-Bois-de-Liesse","911",32,6,17,3
"101-912","101-Bois-de-Liesse","912",64,14,27,15
"101-913","101-Bois-de-Liesse","913",32,14,20,7
"101-914","101-Bois-de-Liesse","914",21,16,15,5
"101-915","101-Bois-de-Liesse","915",29,14,30,9
"102-001","102-Cap-Saint-Jacques","1",24,15,39,15
"102-010","102-Cap-Saint-Jacques","10",33,14,23,8
"102-011","102-Cap-Saint-Jacques","11",29,10,40,6
"102-012","102-Cap-Saint-Jacques","12",26,18,48,21
"102-013","102-Cap-Saint-Jacques","13",31,20,36,13
"102-014","102-Cap-Saint-Jacques","14",38,15,44,6
"102-015","102-Cap-Saint-Jacques","15",32,36,34,6
"102-016","102-Cap-Saint-Jacques","16",42,21,32,10
"102-017","102-Cap-Saint-Jacques","17",28,14,36,1
"102-018","102-Cap-Saint-Jacques","18",30,14,46,13
"102-019","102-Cap-Saint-Jacques","19",24,15,26,16
"102-002","102-Cap-Saint-Jacques","2",43,10,21,6
"102-020","102-Cap-Saint-Jacques","20",29,9,29,5
"102-021","102-Cap-Saint-Jacques","21",37,19,49,8
"102-022","102-Cap-Saint-Jacques","22",38,25,43,14
"102-023","102-Cap-Saint-Jacques","23",28,12,36,6
"102-024","102-Cap-Saint-Jacques","24",28,14,26,5
"102-025","102-Cap-Saint-Jacques","25",10,2,12,5
"102-026","102-Cap-Saint-Jacques","26",17,5,13,4
"102-027","102-Cap-Saint-Jacques","27",31,9,24,5
"102-028","102-Cap-Saint-Jacques","28",22,24,33,9
"102-029","102-Cap-Saint-Jacques","29",30,24,57,10
"102-003","102-Cap-Saint-Jacques","3",27,10,18,11
"102-030","102-Cap-Saint-Jacques","30",27,21,46,6
"102-031","102-Cap-Saint-Jacques","31",54,10,38,16
"102-032","102-Cap-Saint-Jacques","32",42,13,48,20
"102-033","102-Cap-Saint-Jacques","33",54,11,46,8
"102-034","102-Cap-Saint-Jacques","34",39,14,22,9
"102-035","102-Cap-Saint-Jacques","35",18,17,26,8
"102-036","102-Cap-Saint-Jacques","36",23,12,36,8
"102-037","102-Cap-Saint-Jacques","37",9,2,19,1
"102-038","102-Cap-Saint-Jacques","38",24,23,25,9
"102-039","102-Cap-Saint-Jacques","39",32,13,28,16
"102-004","102-Cap-Saint-Jacques","4",21,9,26,6
"102-040","102-Cap-Saint-Jacques","40",18,8,40,16
"102-041","102-Cap-Saint-Jacques","41",28,2,38,5
"102-042","102-Cap-Saint-Jacques","42",24,7,49,8
"102-043","102-Cap-Saint-Jacques","43",30,15,37,1
"102-044","102-Cap-Saint-Jacques","44",14,13,52,10
"102-045","102-Cap-Saint-Jacques","45",31,13,24,3
"102-046","102-Cap-Saint-Jacques","46",20,11,14,8
"102-047","102-Cap-Saint-Jacques","47",20,20,8,8
"102-048","102-Cap-Saint-Jacques","48",22,10,26,7
"102-049","102-Cap-Saint-Jacques","49",21,10,23,8
"102-005","102-Cap-Saint-Jacques","5",9,12,34,5
"102-050","102-Cap-Saint-Jacques","50",24,19,41,18
"102-051","102-Cap-Saint-Jacques","51",19,9,28,3
"102-052","102-Cap-Saint-Jacques","52",13,1,10,2
"102-053","102-Cap-Saint-Jacques","53",22,5,21,2
"102-054","102-Cap-Saint-Jacques","54",19,3,30,7
"102-055","102-Cap-Saint-Jacques","55",19,18,40,7
"102-056","102-Cap-Saint-Jacques","56",10,9,21,2
"102-057","102-Cap-Saint-Jacques","57",8,5,14,3
"102-058","102-Cap-Saint-Jacques","58",20,9,19,13
"102-059","102-Cap-Saint-Jacques","59",18,14,20,6
"102-006","102-Cap-Saint-Jacques","6",12,9,12,5
"102-060","102-Cap-Saint-Jacques","60",16,10,25,8
"102-602","102-Cap-Saint-Jacques","602",299,59,172,66
"102-061","102-Cap-Saint-Jacques","61",17,14,37,6
"102-062","102-Cap-Saint-Jacques","62",29,15,25,5
"102-063","102-Cap-Saint-Jacques","63",36,35,41,17
"102-064","102-Cap-Saint-Jacques","64",19,14,53,14
"102-065","102-Cap-Saint-Jacques","65",51,10,58,9
"102-066","102-Cap-Saint-Jacques","66",24,21,28,11
"102-067","102-Cap-Saint-Jacques","67",23,20,37,11
"102-068","102-Cap-Saint-Jacques","68",32,11,26,8
"102-069","102-Cap-Saint-Jacques","69",31,14,23,14
"102-007","102-Cap-Saint-Jacques","7",7,11,19,10
"102-070","102-Cap-Saint-Jacques","70",25,16,31,6
"102-071","102-Cap-Saint-Jacques","71",25,18,40,8
"102-072","102-Cap-Saint-Jacques","72",34,18,29,13
"102-073","102-Cap-Saint-Jacques","73",30,17,42,12
"102-074","102-Cap-Saint-Jacques","74",34,24,48,11
"102-075","102-Cap-Saint-Jacques","75",31,10,35,17
"102-008","102-Cap-Saint-Jacques","8",25,9,17,2
"102-009","102-Cap-Saint-Jacques","9",21,16,22,6
"102-901","102-Cap-Saint-Jacques","901",12,2,13,6
"102-902","102-Cap-Saint-Jacques","902",20,1,4,3
"102-903","102-Cap-Saint-Jacques","903",12,0,2,2
"102-904","102-Cap-Saint-Jacques","904",19,2,7,6
"102-905","102-Cap-Saint-Jacques","905",18,7,6,7
"102-906","102-Cap-Saint-Jacques","906",25,5,9,1
"102-907","102-Cap-Saint-Jacques","907",26,11,18,2
"102-908","102-Cap-Saint-Jacques","908",34,17,13,6
"102-909","102-Cap-Saint-Jacques","909",25,6,19,6
"102-910","102-Cap-Saint-Jacques","910",11,3,12,3
"102-911","102-Cap-Saint-Jacques","911",29,11,15,4
"102-912","102-Cap-Saint-Jacques","912",25,9,10,2
"102-913","102-Cap-Saint-Jacques","913",19,5,13,5
"011-001","11-Sault-au-Récollet","1",45,34,18,30
"011-010","11-Sault-au-Récollet","10",39,25,39,18
"011-011","11-Sault-au-Récollet","11",29,35,33,12
"011-012","11-Sault-au-Récollet","12",66,9,20,16
"011-013","11-Sault-au-Récollet","13",60,22,15,3
"011-014","11-Sault-au-Récollet","14",90,15,28,8
"011-015","11-Sault-au-Récollet","15",41,30,35,18
"011-016","11-Sault-au-Récollet","16",42,27,38,14
"011-017","11-Sault-au-Récollet","17",38,22,25,21
"011-018","11-Sault-au-Récollet","18",48,35,38,21
"011-019","11-Sault-au-Récollet","19",41,40,39,14
"011-002","11-Sault-au-Récollet","2",55,41,31,15
"011-020","11-Sault-au-Récollet","20",73,42,25,31
"011-021","11-Sault-au-Récollet","21",54,12,25,9
"011-022","11-Sault-au-Récollet","22",57,19,30,11
"011-023","11-Sault-au-Récollet","23",39,21,33,14
"011-024","11-Sault-au-Récollet","24",41,42,44,20
"011-025","11-Sault-au-Récollet","25",43,36,35,9
"011-026","11-Sault-au-Récollet","26",31,40,40,14
"011-027","11-Sault-au-Récollet","27",70,18,20,6
"011-028","11-Sault-au-Récollet","28",52,63,35,17
"011-029","11-Sault-au-Récollet","29",33,34,40,13
"011-003","11-Sault-au-Récollet","3",46,33,28,12
"011-030","11-Sault-au-Récollet","30",29,42,22,16
"011-031","11-Sault-au-Récollet","31",21,30,31,8
"011-032","11-Sault-au-Récollet","32",41,47,30,16
"011-033","11-Sault-au-Récollet","33",26,21,20,7
"011-034","11-Sault-au-Récollet","34",38,32,20,15
"011-035","11-Sault-au-Récollet","35",51,37,23,9
"011-036","11-Sault-au-Récollet","36",48,23,25,10
"011-037","11-Sault-au-Récollet","37",24,49,29,29
"011-038","11-Sault-au-Récollet","38",25,35,21,19
"011-039","11-Sault-au-Récollet","39",30,57,28,16
"011-004","11-Sault-au-Récollet","4",71,21,35,6
"011-040","11-Sault-au-Récollet","40",31,2,8,5
"011-041","11-Sault-au-Récollet","41",33,6,9,9
"011-042","11-Sault-au-Récollet","42",24,58,35,21
"011-043","11-Sault-au-Récollet","43",26,55,28,18
"011-044","11-Sault-au-Récollet","44",24,48,29,15
"011-045","11-Sault-au-Récollet","45",26,57,44,24
"011-046","11-Sault-au-Récollet","46",19,58,32,21
"011-047","11-Sault-au-Récollet","47",35,46,55,11
"011-048","11-Sault-au-Récollet","48",21,62,30,17
"011-049","11-Sault-au-Récollet","49",28,51,29,26
"011-005","11-Sault-au-Récollet","5",52,30,26,16
"011-050","11-Sault-au-Récollet","50",46,57,25,32
"011-051","11-Sault-au-Récollet","51",32,44,33,27
"011-052","11-Sault-au-Récollet","52",29,36,31,13
"011-053","11-Sault-au-Récollet","53",46,31,33,10
"011-054","11-Sault-au-Récollet","54",38,54,41,23
"011-055","11-Sault-au-Récollet","55",30,43,48,21
"011-056","11-Sault-au-Récollet","56",47,29,41,25
"011-057","11-Sault-au-Récollet","57",33,54,38,30
"011-058","11-Sault-au-Récollet","58",22,58,59,26
"011-059","11-Sault-au-Récollet","59",42,49,33,15
"011-006","11-Sault-au-Récollet","6",36,46,30,23
"011-060","11-Sault-au-Récollet","60",48,38,27,18
"011-601","11-Sault-au-Récollet","601",184,107,147,73
"011-061","11-Sault-au-Récollet","61",35,14,14,5
"011-062","11-Sault-au-Récollet","62",39,25,28,7
"011-063","11-Sault-au-Récollet","63",37,17,24,15
"011-064","11-Sault-au-Récollet","64",36,34,51,19
"011-065","11-Sault-au-Récollet","65",30,16,13,3
"011-066","11-Sault-au-Récollet","66",18,14,30,9
"011-067","11-Sault-au-Récollet","67",37,51,46,31
"011-007","11-Sault-au-Récollet","7",37,50,51,13
"011-008","11-Sault-au-Récollet","8",45,33,40,17
"011-009","11-Sault-au-Récollet","9",36,48,38,16
"011-901","11-Sault-au-Récollet","901",62,21,27,13
"011-902","11-Sault-au-Récollet","902",58,17,30,15
"011-903","11-Sault-au-Récollet","903",24,18,20,4
"011-904","11-Sault-au-Récollet","904",19,11,15,1
"011-905","11-Sault-au-Récollet","905",33,12,6,12
"011-906","11-Sault-au-Récollet","906",32,18,26,7
"011-907","11-Sault-au-Récollet","907",33,13,13,6
"011-908","11-Sault-au-Récollet","908",37,37,28,8
"011-909","11-Sault-au-Récollet","909",60,33,27,16
"011-910","11-Sault-au-Récollet","910",45,28,22,22
"011-911","11-Sault-au-Récollet","911",60,27,42,20
"011-912","11-Sault-au-Récollet","912",46,25,32,33
"111-0NA","111-Mile-End","079A",20,35,20,14
"111-0NA","111-Mile-End","079B",9,27,10,10
"111-001","111-Mile-End","1",16,67,51,29
"111-010","111-Mile-End","10",22,60,23,15
"111-011","111-Mile-End","11",11,63,36,16
"111-012","111-Mile-End","12",21,51,27,16
"111-013","111-Mile-End","13",20,70,36,26
"111-014","111-Mile-End","14",21,73,17,17
"111-015","111-Mile-End","15",11,57,28,22
"111-016","111-Mile-End","16",19,67,38,8
"111-017","111-Mile-End","17",6,54,31,26
"111-018","111-Mile-End","18",13,59,40,27
"111-019","111-Mile-End","19",13,85,38,19
"111-002","111-Mile-End","2",16,59,28,19
"111-020","111-Mile-End","20",17,65,34,23
"111-021","111-Mile-End","21",10,60,26,13
"111-022","111-Mile-End","22",18,45,29,9
"111-023","111-Mile-End","23",24,49,39,14
"111-024","111-Mile-End","24",14,43,19,15
"111-025","111-Mile-End","25",17,54,39,18
"111-026","111-Mile-End","26",3,60,20,14
"111-027","111-Mile-End","27",18,60,21,11
"111-028","111-Mile-End","28",19,55,27,20
"111-029","111-Mile-End","29",7,45,30,18
"111-003","111-Mile-End","3",18,61,30,20
"111-030","111-Mile-End","30",32,43,14,12
"111-031","111-Mile-End","31",27,52,27,17
"111-032","111-Mile-End","32",13,43,25,5
"111-033","111-Mile-End","33",13,27,37,18
"111-034","111-Mile-End","34",6,54,42,26
"111-035","111-Mile-End","35",35,48,26,14
"111-036","111-Mile-End","36",22,47,32,27
"111-037","111-Mile-End","37",13,72,30,11
"111-038","111-Mile-End","38",14,64,33,17
"111-039","111-Mile-End","39",21,65,18,19
"111-004","111-Mile-End","4",25,48,32,19
"111-040","111-Mile-End","40",16,42,34,9
"111-041","111-Mile-End","41",16,53,9,23
"111-042","111-Mile-End","42",18,54,25,11
"111-043","111-Mile-End","43",10,48,38,11
"111-044","111-Mile-End","44",10,61,29,18
"111-045","111-Mile-End","45",10,47,31,12
"111-046","111-Mile-End","46",14,43,30,17
"111-047","111-Mile-End","47",12,46,21,5
"111-048","111-Mile-End","48",16,42,34,11
"111-049","111-Mile-End","49",12,74,21,16
"111-005","111-Mile-End","5",8,84,26,11
"111-050","111-Mile-End","50",16,68,32,13
"111-051","111-Mile-End","51",9,75,24,12
"111-052","111-Mile-End","52",41,42,25,7
"111-053","111-Mile-End","53",35,44,21,13
"111-054","111-Mile-End","54",19,33,21,1
"111-055","111-Mile-End","55",13,34,29,9
"111-056","111-Mile-End","56",11,42,20,9
"111-057","111-Mile-End","57",8,57,19,13
"111-058","111-Mile-End","58",35,50,21,7
"111-059","111-Mile-End","59",10,74,40,13
"111-006","111-Mile-End","6",12,48,24,26
"111-060","111-Mile-End","60",45,38,12,7
"111-601","111-Mile-End","601",62,125,79,64
"111-061","111-Mile-End","61",7,47,25,8
"111-062","111-Mile-End","62",14,66,28,15
"111-063","111-Mile-End","63",15,54,12,15
"111-064","111-Mile-End","64",30,34,12,7
"111-065","111-Mile-End","65",11,48,22,2
"111-066","111-Mile-End","66",4,40,28,9
"111-067","111-Mile-End","67",78,16,12,6
"111-068","111-Mile-End","68",34,28,18,4
"111-069","111-Mile-End","69",46,26,21,6
"111-007","111-Mile-End","7",9,69,31,25
"111-070","111-Mile-End","70",11,47,33,11
"111-071","111-Mile-End","71",10,52,30,14
"111-072","111-Mile-End","72",16,52,44,17
"111-073","111-Mile-End","73",10,57,26,6
"111-074","111-Mile-End","74",22,63,28,22
"111-075","111-Mile-End","75",7,51,26,17
"111-076","111-Mile-End","76",16,49,18,16
"111-077","111-Mile-End","77",15,46,26,5
"111-078","111-Mile-End","78",13,45,25,23
"111-008","111-Mile-End","8",13,59,31,21
"111-009","111-Mile-End","9",17,51,31,15
"111-901","111-Mile-End","901",23,34,26,17
"111-902","111-Mile-End","902",15,44,23,10
"111-903","111-Mile-End","903",27,46,19,12
"111-904","111-Mile-End","904",27,37,31,24
"111-905","111-Mile-End","905",35,39,24,10
"111-906","111-Mile-End","906",2,19,6,7
"111-907","111-Mile-End","907",34,42,32,23
"111-908","111-Mile-End","908",26,19,5,5
"111-909","111-Mile-End","909",10,19,10,4
"111-910","111-Mile-End","910",10,38,25,15
"111-911","111-Mile-End","911",13,37,14,9
"111-912","111-Mile-End","912",14,24,17,6
"111-913","111-Mile-End","913",13,43,18,6
"111-914","111-Mile-End","914",25,30,19,9
"112-001","112-DeLorimier","1",20,36,31,19
"112-010","112-DeLorimier","10",19,58,28,14
"112-011","112-DeLorimier","11",8,79,34,18
"112-012","112-DeLorimier","12",13,55,25,22
"112-013","112-DeLorimier","13",13,49,25,18
"112-014","112-DeLorimier","14",15,51,22,15
"112-015","112-DeLorimier","15",13,45,25,12
"112-016","112-DeLorimier","16",23,29,19,9
"112-017","112-DeLorimier","17",16,24,21,5
"112-018","112-DeLorimier","18",6,58,28,15
"112-019","112-DeLorimier","19",24,38,21,17
"112-002","112-DeLorimier","2",10,62,23,15
"112-020","112-DeLorimier","20",16,52,35,23
"112-021","112-DeLorimier","21",12,65,27,20
"112-022","112-DeLorimier","22",10,42,26,29
"112-023","112-DeLorimier","23",18,72,34,16
"112-024","112-DeLorimier","24",9,52,26,13
"112-025","112-DeLorimier","25",19,47,45,9
"112-026","112-DeLorimier","26",7,83,30,23
"112-027","112-DeLorimier","27",23,39,13,26
"112-028","112-DeLorimier","28",22,40,26,14
"112-029","112-DeLorimier","29",12,74,36,18
"112-003","112-DeLorimier","3",9,81,27,13
"112-030","112-DeLorimier","30",22,54,36,21
"112-031","112-DeLorimier","31",8,79,32,23
"112-032","112-DeLorimier","32",13,69,37,19
"112-033","112-DeLorimier","33",5,80,27,20
"112-034","112-DeLorimier","34",14,39,21,11
"112-035","112-DeLorimier","35",9,65,24,9
"112-036","112-DeLorimier","36",27,71,21,28
"112-037","112-DeLorimier","37",13,69,29,31
"112-038","112-DeLorimier","38",11,60,45,25
"112-039","112-DeLorimier","39",17,59,31,25
"112-004","112-DeLorimier","4",14,73,28,7
"112-040","112-DeLorimier","40",6,74,28,18
"112-041","112-DeLorimier","41",8,62,37,15
"112-042","112-DeLorimier","42",21,60,28,22
"112-043","112-DeLorimier","43",36,66,45,33
"112-044","112-DeLorimier","44",5,84,28,21
"112-045","112-DeLorimier","45",7,70,31,8
"112-046","112-DeLorimier","46",17,63,45,19
"112-047","112-DeLorimier","47",18,88,44,20
"112-048","112-DeLorimier","48",19,58,26,21
"112-049","112-DeLorimier","49",8,48,21,11
"112-005","112-DeLorimier","5",11,58,32,13
"112-050","112-DeLorimier","50",14,71,30,17
"112-051","112-DeLorimier","51",16,59,21,32
"112-052","112-DeLorimier","52",19,62,24,29
"112-053","112-DeLorimier","53",21,77,35,21
"112-054","112-DeLorimier","54",8,5,3,0
"112-055","112-DeLorimier","55",14,75,41,20
"112-056","112-DeLorimier","56",8,64,30,18
"112-057","112-DeLorimier","57",9,66,31,19
"112-058","112-DeLorimier","58",10,41,21,12
"112-059","112-DeLorimier","59",7,56,22,9
"112-006","112-DeLorimier","6",19,83,30,14
"112-060","112-DeLorimier","60",16,62,32,17
"112-602","112-DeLorimier","602",128,269,170,142
"112-061","112-DeLorimier","61",16,24,15,11
"112-062","112-DeLorimier","62",13,40,26,24
"112-063","112-DeLorimier","63",17,28,20,13
"112-064","112-DeLorimier","64",25,34,23,28
"112-065","112-DeLorimier","65",26,75,33,31
"112-066","112-DeLorimier","66",20,69,42,21
"112-067","112-DeLorimier","67",11,51,22,29
"112-068","112-DeLorimier","68",16,59,40,34
"112-069","112-DeLorimier","69",13,63,27,25
"112-007","112-DeLorimier","7",28,48,37,13
"112-070","112-DeLorimier","70",16,66,26,25
"112-071","112-DeLorimier","71",25,65,31,11
"112-072","112-DeLorimier","72",15,57,40,20
"112-073","112-DeLorimier","73",13,43,26,28
"112-074","112-DeLorimier","74",31,40,26,44
"112-075","112-DeLorimier","75",7,68,27,23
"112-076","112-DeLorimier","76",20,78,32,15
"112-077","112-DeLorimier","77",15,69,19,26
"112-078","112-DeLorimier","78",20,58,48,27
"112-079","112-DeLorimier","79",20,58,34,21
"112-008","112-DeLorimier","8",14,67,46,21
"112-080","112-DeLorimier","80",17,73,33,25
"112-081","112-DeLorimier","81",13,70,38,25
"112-082","112-DeLorimier","82",20,67,47,14
"112-083","112-DeLorimier","83",22,47,32,17
"112-084","112-DeLorimier","84",24,79,35,26
"112-085","112-DeLorimier","85",33,53,30,22
"112-086","112-DeLorimier","86",25,83,43,25
"112-009","112-DeLorimier","9",14,54,33,33
"112-901","112-DeLorimier","901",15,54,17,6
"112-902","112-DeLorimier","902",19,43,13,14
"112-903","112-DeLorimier","903",23,47,19,19
"112-904","112-DeLorimier","904",20,46,26,17
"112-905","112-DeLorimier","905",11,57,26,20
"112-906","112-DeLorimier","906",26,42,17,22
"112-907","112-DeLorimier","907",20,28,28,9
"112-908","112-DeLorimier","908",22,32,12,14
"112-909","112-DeLorimier","909",12,20,25,14
"112-910","112-DeLorimier","910",12,35,21,10
"112-911","112-DeLorimier","911",16,24,19,5
"112-912","112-DeLorimier","912",30,34,30,11
"112-913","112-DeLorimier","913",19,46,19,6
"112-914","112-DeLorimier","914",23,26,14,28
"112-915","112-DeLorimier","915",18,43,14,17
"113-001","113-Jeanne-Mance","1",28,55,31,28
"113-010","113-Jeanne-Mance","10",10,56,27,11
"113-011","113-Jeanne-Mance","11",21,63,39,15
"113-012","113-Jeanne-Mance","12",17,58,43,26
"113-013","113-Jeanne-Mance","13",14,54,39,23
"113-014","113-Jeanne-Mance","14",13,63,42,42
"113-015","113-Jeanne-Mance","15",17,69,19,37
"113-016","113-Jeanne-Mance","16",13,40,27,21
"113-017","113-Jeanne-Mance","17",9,92,47,32
"113-018","113-Jeanne-Mance","18",18,45,32,47
"113-019","113-Jeanne-Mance","19",25,42,36,18
"113-002","113-Jeanne-Mance","2",4,71,21,29
"113-020","113-Jeanne-Mance","20",25,50,38,26
"113-021","113-Jeanne-Mance","21",22,47,35,31
"113-022","113-Jeanne-Mance","22",19,49,30,19
"113-023","113-Jeanne-Mance","23",11,62,30,29
"113-024","113-Jeanne-Mance","24",15,63,31,26
"113-025","113-Jeanne-Mance","25",20,43,30,13
"113-026","113-Jeanne-Mance","26",10,59,28,16
"113-027","113-Jeanne-Mance","27",12,65,29,32
"113-028","113-Jeanne-Mance","28",26,48,28,22
"113-029","113-Jeanne-Mance","29",22,48,27,21
"113-003","113-Jeanne-Mance","3",6,84,40,24
"113-030","113-Jeanne-Mance","30",19,39,37,11
"113-031","113-Jeanne-Mance","31",25,54,32,15
"113-032","113-Jeanne-Mance","32",15,45,30,11
"113-033","113-Jeanne-Mance","33",14,46,31,21
"113-034","113-Jeanne-Mance","34",18,42,41,16
"113-035","113-Jeanne-Mance","35",28,27,23,30
"113-036","113-Jeanne-Mance","36",20,42,38,27
"113-037","113-Jeanne-Mance","37",24,53,31,19
"113-038","113-Jeanne-Mance","38",20,37,32,14
"113-039","113-Jeanne-Mance","39",13,53,36,13
"113-004","113-Jeanne-Mance","4",23,59,44,36
"113-040","113-Jeanne-Mance","40",17,46,32,11
"113-041","113-Jeanne-Mance","41",4,56,34,13
"113-042","113-Jeanne-Mance","42",12,46,23,15
"113-043","113-Jeanne-Mance","43",13,48,16,11
"113-044","113-Jeanne-Mance","44",9,36,28,21
"113-045","113-Jeanne-Mance","45",15,46,29,19
"113-046","113-Jeanne-Mance","46",20,42,25,8
"113-047","113-Jeanne-Mance","47",7,45,25,9
"113-048","113-Jeanne-Mance","48",11,39,31,15
"113-049","113-Jeanne-Mance","49",7,44,23,11
"113-005","113-Jeanne-Mance","5",9,69,38,31
"113-050","113-Jeanne-Mance","50",13,36,26,9
"113-051","113-Jeanne-Mance","51",16,48,15,8
"113-052","113-Jeanne-Mance","52",10,25,18,6
"113-053","113-Jeanne-Mance","53",20,27,22,19
"113-054","113-Jeanne-Mance","54",13,15,20,6
"113-055","113-Jeanne-Mance","55",33,33,18,27
"113-056","113-Jeanne-Mance","56",0,0,0,0
"113-057","113-Jeanne-Mance","57",10,28,30,25
"113-058","113-Jeanne-Mance","58",16,55,32,9
"113-059","113-Jeanne-Mance","59",17,15,24,17
"113-006","113-Jeanne-Mance","6",20,65,33,12
"113-060","113-Jeanne-Mance","60",26,20,22,10
"113-603","113-Jeanne-Mance","603",79,108,71,79
"113-061","113-Jeanne-Mance","61",18,24,19,11
"113-062","113-Jeanne-Mance","62",10,7,5,3
